x 2 CR: [0.76, 0.795, 0.82, 0.825, 0.77, 0.835, 0.77, 0.82, 0.8, 0.795]
x 5 CR: [0.765, 0.815, 0.835, 0.83, 0.765, 0.825, 0.78, 0.825, 0.81, 0.78]
Sig [1.0, 0.8320703744377606, 0.8878609477142521, 1.0, 1.0, 0.9436515209907436, 0.9436515209907436, 1.0, 0.9436515209907436, 0.8878609477142521]


x 3 CR: [0.825, 0.81, 0.79, 0.77, 0.77, 0.84, 0.815, 0.805, 0.8, 0.825]
x 4 CR: [0.83, 0.805, 0.795, 0.77, 0.78, 0.835, 0.81, 0.82, 0.795, 0.82]
Sig [1.0, 1.0, 1.0, 1.0563484790092563, 0.9436515209907436, 1.0, 1.0, 0.8878609477142521, 1.0, 1.0]


x 3 CR: [0.845, 0.82, 0.8, 0.81, 0.825, 0.75, 0.825, 0.81, 0.785, 0.835]
x 5 CR: [0.845, 0.81, 0.79, 0.805, 0.815, 0.755, 0.82, 0.815, 0.785, 0.85]
Sig [1.0563484790092563, 0.9436515209907436, 0.9436515209907436, 1.0, 0.9436515209907436, 1.0, 1.0, 1.0, 1.0563484790092563, 0.8878609477142521]


x 4 CR: [0.795, 0.785, 0.835, 0.765, 0.8, 0.815, 0.785, 0.77, 0.805, 0.82]
x 5 CR: [0.8, 0.785, 0.84, 0.765, 0.81, 0.81, 0.795, 0.785, 0.805, 0.815]
Sig [1.0, 1.0563484790092563, 1.0, 1.0563484790092563, 0.9436515209907436, 1.0, 0.9436515209907436, 0.8878609477142521, 1.0563484790092563, 1.0]


baseline CR: [0.805, 0.815, 0.81, 0.81, 0.815, 0.825, 0.785, 0.805, 0.825, 0.81]
punc CR: [0.845, 0.815, 0.795, 0.8, 0.82, 0.805, 0.79, 0.78, 0.785, 0.79]
Sig [0.6207289280968307, 1.0563484790092563, 0.8878609477142521, 0.9436515209907436, 1.0, 0.8320703744377606, 1.0, 0.7779207003752835, 0.6207289280968307, 0.8320703744377606]


baseline CR: [0.815, 0.8, 0.87, 0.815, 0.835, 0.81, 0.775, 0.785, 0.84, 0.77]
nlp_flip_dep_1 CR: [0.795, 0.79, 0.835, 0.81, 0.845, 0.8, 0.79, 0.745, 0.845, 0.77]
Sig [0.8320703744377606, 0.9436515209907436, 0.6722499772048186, 1.0, 0.9436515209907436, 0.9436515209907436, 0.8878609477142521, 0.6207289280968307, 1.0, 1.0563484790092563]


baseline CR: [0.81, 0.785, 0.825, 0.79, 0.805, 0.845, 0.755, 0.8, 0.765, 0.855]
nlp_flip_dep_obj CR: [0.835, 0.785, 0.815, 0.775, 0.805, 0.86, 0.75, 0.815, 0.765, 0.825]
Sig [0.7779207003752835, 1.0563484790092563, 0.9436515209907436, 0.8878609477142521, 1.0563484790092563, 0.8878609477142521, 1.0, 0.8878609477142521, 1.0563484790092563, 0.7237710263128064]


baseline CR: [0.815, 0.785, 0.82, 0.84, 0.8, 0.81, 0.825, 0.78, 0.8, 0.795]
x 1 CR: [0.815, 0.77, 0.835, 0.845, 0.81, 0.78, 0.81, 0.76, 0.81, 0.785]
Sig [1.0563484790092563, 0.8878609477142521, 0.8878609477142521, 1.0, 0.9436515209907436, 0.7237710263128064, 0.8878609477142521, 0.8320703744377606, 0.9436515209907436, 0.9436515209907436]


baseline CR: [0.805, 0.8, 0.78, 0.765, 0.805, 0.82, 0.8, 0.82, 0.765, 0.855]
x 2 CR: [0.825, 0.81, 0.78, 0.775, 0.795, 0.805, 0.79, 0.82, 0.765, 0.885]
Sig [0.8320703744377606, 0.9436515209907436, 1.0563484790092563, 0.9436515209907436, 0.9436515209907436, 0.8878609477142521, 0.9436515209907436, 1.0563484790092563, 1.0563484790092563, 0.7237710263128064]


baseline CR: [0.765, 0.845, 0.79, 0.79, 0.79, 0.81, 0.805, 0.85, 0.795, 0.8]
x 3 CR: [0.77, 0.8, 0.805, 0.79, 0.79, 0.81, 0.81, 0.83, 0.795, 0.79]
Sig [1.0, 0.5726756419095728, 0.8878609477142521, 1.0563484790092563, 1.0563484790092563, 1.0563484790092563, 1.0, 0.8320703744377606, 1.0563484790092563, 0.9436515209907436]


baseline CR: [0.79, 0.825, 0.83, 0.805, 0.805, 0.755, 0.77, 0.8, 0.815, 0.835]
x 4 CR: [0.725, 0.805, 0.84, 0.805, 0.835, 0.755, 0.805, 0.8, 0.79, 0.835]
Sig [0.3973782900879155, 0.8320703744377606, 0.9436515209907436, 1.0563484790092563, 0.7237710263128064, 1.0563484790092563, 0.6722499772048186, 1.0563484790092563, 0.7779207003752835, 1.0563484790092563]


baseline CR: [0.785, 0.805, 0.84, 0.83, 0.78, 0.775, 0.77, 0.835, 0.83, 0.77]
x 5 CR: [0.78, 0.81, 0.815, 0.805, 0.8, 0.79, 0.735, 0.785, 0.845, 0.765]
Sig [1.0, 1.0, 0.7779207003752835, 0.7779207003752835, 0.8320703744377606, 0.8878609477142521, 0.6722499772048186, 0.5246223557223149, 0.8878609477142521, 1.0]


